stage_index,stage_name,i,x[m],dx[m],qprime[W/m],UA_prime[W/K/m],Tgw[K],Tww[K],boiling,gas_T[K],gas_P[Pa],water_h[J/kg],water_P[Pa],water_T[K],water_x[-]
2,HX_3,4,0.4145833333333333,0.10364583333333333,50217.11505643392,41.34078194141098,584.1081351686661,584.107446131292,True,1664.412481911049,115000.0,748146.8651346163,1000000,449.7310147308216,
2,HX_3,5,0.5182291666666666,0.10364583333333333,50196.00708019886,41.34070342960172,584.1695062985921,584.169467496476,True,1664.0220931006593,115000.0,748667.3446083782,1000000,449.84950520728046,
2,HX_3,6,0.621875,0.10364583333333333,50174.88408855803,41.340625037663436,584.2313895660811,584.2313873809977,True,1663.6318527036258,115000.0,749187.6053067616,1000000,449.9679338201159,
2,HX_3,7,0.7255208333333333,0.10364583333333333,50153.768567869534,41.340546662982725,584.2932655090484,584.2932653859984,True,1663.2417608496517,115000.0,749707.6470741378,1000000,450.0863005326923,
2,HX_3,8,0.8291666666666666,0.10364583333333333,50132.66176439191,41.340468299770535,584.3551048339275,584.3551048269981,True,1662.8518174936287,115000.0,750227.4699879402,1000000,450.204605361443,
2,HX_3,9,0.9328124999999999,0.10364583333333333,50111.563744359366,41.340389947700544,584.4169058986735,584.4169058982834,True,1662.4620225807523,115000.0,750747.074138519,1000000,450.32284832574885,
2,HX_3,10,1.0364583333333333,0.10364583333333333,50090.47450846285,41.34031160675467,584.4786686211235,584.4786686211014,True,1662.0723760556982,115000.0,751266.459616911,1000000,450.44102944515356,
2,HX_3,11,1.1401041666666667,0.10364583333333333,50069.394053754295,41.34023327693216,584.5403930071107,584.5403930071095,True,1661.682877863129,115000.0,751785.6265141602,1000000,450.5591487392088,
2,HX_3,12,1.24375,0.10364583333333333,50048.3223770843,41.34015495823333,584.6020790674352,584.6020790674349,True,1661.2935279477226,115000.0,752304.5749212798,1000000,450.67720622746623,
2,HX_3,13,1.3473958333333331,0.10364583333333333,50027.259475293155,41.340076650658474,584.6637268131772,584.6637268131769,True,1660.9043262541766,115000.0,752823.3049292506,1000000,450.7952019294768,
2,HX_3,14,1.4510416666666666,0.10364583333333333,50006.20534522125,41.33999835420795,584.7253362554345,584.7253362554344,True,1660.5152727272039,115000.0,753341.8166290206,1000000,450.91313586479026,
2,HX_3,15,1.5546875,0.10364583333333333,49985.159983709775,41.3399200688821,584.7869074053078,584.7869074053077,True,1660.1263673115368,115000.0,753860.1101115049,1000000,451.0310080529561,
2,HX_3,16,1.6583333333333332,0.10364583333333333,49964.123387600805,41.339841794681284,584.8484402738981,584.8484402738982,True,1659.737609951926,115000.0,754378.185467586,1000000,451.1488185135227,
2,HX_3,17,1.7619791666666664,0.10364583333333333,49943.095553737076,41.339763531605826,584.9099348723092,584.9099348723093,True,1659.3490005931385,115000.0,754896.0427881138,1000000,451.2665672660379,
2,HX_3,18,1.8656249999999999,0.10364583333333333,49922.07647896229,41.3396852796561,584.9713912116449,584.971391211645,True,1658.9605391799598,115000.0,755413.6821639051,1000000,451.3842543300483,
2,HX_3,19,1.9692708333333333,0.10364583333333333,49901.06616012083,41.33960703883249,585.0328093030112,585.0328093030113,True,1658.5722256571926,115000.0,755931.1036857443,1000000,451.5018797251001,
2,HX_3,20,2.0729166666666665,0.10364583333333333,49880.064594057985,41.33952880913533,585.0941891575153,585.0941891575151,True,1658.1840599696588,115000.0,756448.307444383,1000000,451.6194434707385,
2,HX_3,21,2.1765624999999997,0.10364583333333333,49859.07177761983,41.33945059056501,585.1555307862649,585.155530786265,True,1657.7960420621964,115000.0,756965.2935305402,1000000,451.73694558650806,
2,HX_3,22,2.2802083333333334,0.10364583333333333,49838.08770765318,41.33937238312191,585.2168342003711,585.2168342003708,True,1657.4081718796624,115000.0,757482.0620349019,1000000,451.85438609195256,
2,HX_3,23,2.3838541666666666,0.10364583333333333,49817.112381005805,41.339294186806406,585.2780994109442,585.2780994109442,True,1657.0204493669307,115000.0,757998.6130481219,1000000,451.97176500661476,
2,HX_3,24,2.4875,0.10364583333333333,49796.145794526106,41.3392160016189,585.3393264290974,585.3393264290975,True,1656.6328744688933,115000.0,758514.9466608209,1000000,452.08908235003724,
2,HX_3,25,2.591145833333333,0.10364583333333333,49775.187945063415,41.33913782755977,585.4005152659446,585.4005152659446,True,1656.24544713046,115000.0,759031.062963587,1000000,452.20633814176085,
2,HX_3,26,2.6947916666666663,0.10364583333333333,49754.23882946785,41.3390596646294,585.4616659326008,585.4616659326008,True,1655.8581672965586,115000.0,759546.962046976,1000000,452.3235324013262,
2,HX_3,27,2.7984375,0.10364583333333333,49733.29844459034,41.33898151282822,585.5227784401834,585.5227784401832,True,1655.4710349121344,115000.0,760062.6440015106,1000000,452.4406651482731,
2,HX_3,28,2.902083333333333,0.10364583333333333,49712.36678728259,41.33890337215662,585.5838527998098,585.5838527998098,True,1655.0840499221506,115000.0,760578.108917681,1000000,452.5577364021408,
2,HX_3,29,3.0057291666666663,0.10364583333333333,49691.44385439715,41.33882524261502,585.6448890226,585.6448890226,True,1654.6972122715877,115000.0,761093.3568859451,1000000,452.67474618246706,
2,HX_3,30,3.109375,0.10364583333333333,49670.529642787355,41.33874712420383,585.7058871196748,585.7058871196747,True,1654.3105219054444,115000.0,761608.3879967276,1000000,452.7916945087895,
2,HX_3,31,3.213020833333333,0.10364583333333333,49649.624149307376,41.338669016923475,585.7668471021561,585.766847102156,True,1653.923978768737,115000.0,762123.202340421,1000000,452.90858140064455,
