stage_index,stage_name,stage_kind,Q_stage[W],UA_stage[W/K],gas_in_T[K],gas_out_T[K],water_in_h[J/kg],water_out_h[J/kg]
0,HX_1,single_tube,6269793.2397738295,4196.481120122382,2176.59,1724.396694572019,840590.5849833292,1459148.6048721618
1,HX_2,reversal_chamber,697427.6779309956,558.6643243458251,1718.116285640588,1668.400920919022,770847.8171902297,837325.2802423823
2,HX_3,tube_bank,247543.63816277715,205.66395626583673,1665.9525030242114,1647.7554254151437,746093.4533739524,770335.9381264627
3,HX_4,reversal_chamber,604348.8869002655,507.1930821785481,1647.3708236510652,1604.0013425520397,685658.5646839265,743246.8599450247
4,HX_5,tube_bank,1258103.1215004623,1111.13695081142,1601.8523365646931,1508.0342997479745,559848.252533881,683453.7445970452
5,HX_6,economiser,1208482.5253388553,1132.5461723521134,1506.3515336961927,1415.210975810283,439000.0,557737.3293185915
